,TSM_Ret,SOX_Ret,TSM_Ret_lag2,SOX_Ret_lag2,TSM_SOX_Spread,NetOI_Diff_lag1,NetOI_Diff_lag2,Open_Gap,Gap_Direction,Intraday_Ret,Intraday_Point,Intra_Ret_lag1,TX_Ret,TX_Ret_lag1,TX_Vol5,TX_Mom5,MA5,MA20,RSI
2024-06-12,-0.01467675836110254,0.0005555633327822322,0.02267445003043325,0.014115202935342188,-0.015232321693884773,-5244.0,-78.0,31.0,1,0.00989181854889838,217,-0.005581239612694896,0.011312957074003873,-0.004531418670485093,0.012851162074895006,0.006628027578413222,21815.8,21573.0,58.43351548269582
2024-06-13,0.04293673329712942,0.028568296608886722,-0.01467675836110254,0.0005555633327822322,0.0143684366882427,4711.0,-5244.0,262.0,1,0.0006721785559266675,15,0.00989181854889838,0.012486357542110244,0.011312957074003873,0.009103396968123782,0.03348558024347985,21987.8,21632.0,61.97934021992669
2024-06-14,0.002745242428204314,0.014663155514562508,0.04293673329712942,0.028568296608886722,-0.011917913086358194,-2179.0,4711.0,-49.0,0,0.010583999661117897,237,0.0006721785559266675,0.008386541548792594,0.012486357542110244,0.009464026436000292,0.039287014683706295,22115.0,21689.05,65.01587301587301
2024-06-17,-0.0023162933766636314,-0.0007338563598733858,0.002745242428204314,0.014663155514562508,-0.0015824370167902455,463.0,-2179.0,-81.0,0,0.002093215630573177,47,0.010583999661117897,-0.0015115144693362151,0.008386541548792594,0.007271439600311419,0.028659646388348427,22231.0,21746.1,60.473208072373005
2024-06-18,0.027049718566826385,0.015911513440254103,-0.0023162933766636314,-0.0007338563598733858,0.011138205126572282,-337.0,463.0,249.0,1,0.0026366687801067552,60,0.002093215630573177,0.013653748113233855,-0.0015115144693362151,0.007751679622449867,0.026142923025085404,22428.6,21820.3,63.402061855670105
2024-06-19,0.013728299486906672,0.013449698708970963,0.027049718566826385,0.015911513440254103,0.0002786007779357093,254.0,-337.0,170.0,1,0.011649944453786018,269,0.0026366687801067552,0.019082972423978228,0.013653748113233855,0.006122495526508319,0.04432808980880436,22664.4,21917.7,72.69707037148898
2024-06-25,-0.03599314632946302,-0.03062000906534437,-0.008129450158427896,-0.01282152511251883,-0.005373137264118654,-999.0,-3620.0,-138.0,0,0.00595357980010486,135,-0.01327646368040473,-0.00013190001997619296,-0.020193914524092887,0.01600938806780715,0.011896741599562763,23060.4,22190.2,74.04528556944913
2024-06-26,0.028144248956805982,0.017739839441119166,-0.03599314632946302,-0.03062000906534437,0.010404409515686816,-1966.0,-999.0,63.0,1,0.0028897957848440597,66,0.00595357980010486,0.0056560492777341966,-0.00013190001997619296,0.014717230410788902,-0.0018889065336472866,22989.8,22236.1,73.92190152801359
2024-06-27,-0.0030752699148748662,-0.0028095916200979744,0.028144248956805982,0.017739839441119166,-0.0002656782947768918,-2539.0,-1966.0,-258.0,0,0.007884287763947286,179,0.0028897957848440597,-0.0034599837430100023,0.0056560492777341966,0.011045555741753399,-0.015315829679891316,22872.8,22289.65,67.57274119448698
2024-06-28,-0.0025604011042376575,-0.005744300508663743,-0.0030752699148748662,-0.0028095916200979744,0.0031838994044260855,1250.0,-2539.0,115.0,1,0.0032686176711827475,75,0.007884287763947286,0.008301340925792886,-0.0034599837430100023,0.009686935372983894,-0.025341937908577722,22827.4,22369.25,69.53237410071942
